date,week,month,month_name,weekday,is_weekend,price_source,buy_mean_EUR_kWh,buy_max_EUR_kWh,v2g_max_EUR_kWh,A_cost_EUR,A_charge_EUR,C_cost_EUR,C_v2g_rev_EUR,C_charge_EUR,C_deg_EUR,C_v2g_kwh,C_saving_EUR,D_cost_EUR,D_v2g_rev_EUR,D_v2g_kwh,D_saving_EUR
2024-05-22,21,5,May,2,0,ML FORECAST 2024-05-22,0.08790093930849287,0.1210168493409668,0.25160014416518134,12.379054641801837,9.11166333745401,10.258379142890002,6.594843586343233,11.612909757405069,5.240312971828166,30.146607801764894,2.120675498911835,10.63813911196159,6.172204200580365,28.115711308990118,1.7409155298402474
2024-05-23,21,5,May,3,0,ML FORECAST 2024-05-23,0.09154362734622902,0.11992053721392576,0.24594489139678777,12.836806900909028,9.569415596561202,10.628661219994122,5.571156387422462,11.251217916361043,4.94859969105554,25.689174944205106,2.2081456809149067,11.197216861207394,4.902460857978152,23.167944441605446,1.639590039701634
2024-05-24,21,5,May,4,0,ML FORECAST 2024-05-24,0.09532331847394644,0.1224776352619328,0.2519180708204011,13.296189752481613,10.028798448133784,10.831441436671195,5.618137327321097,11.500979072936754,4.94859969105554,25.689174944205106,2.464748315810418,11.436613487478816,2.800710278548058,13.221793417323498,1.8595762650027972
2024-05-25,21,5,May,5,1,ML FORECAST 2024-05-25,0.07908441691975991,0.11422290169395052,0.24229060362870158,12.145829034935922,8.878437730588093,8.35244104396395,3.151824891038287,7.17353496140186,4.330730973600376,16.24802671965913,3.793387990971972,8.911961437902765,2.7139496202368507,14.068549112963254,3.233867597033157
2024-05-26,21,5,May,6,1,ML FORECAST 2024-05-26,0.07282418693040926,0.10571801484720834,0.23353770485373543,11.42562099991629,8.158229695568462,7.6709449656680935,3.0160650161699993,6.356279008237718,4.330730973600375,16.24802671965913,3.754676034248197,8.180196889582461,2.6013872708503376,14.009041695790643,3.245424110333829
2024-05-27,22,5,May,0,0,ML FORECAST 2024-05-27,0.09000593033774483,0.12230823075030794,0.2525692685590068,12.655881825033603,9.388490520685774,10.42429127829123,6.167022691632079,11.477714278867769,5.11359969105554,28.210405446804756,2.231590546742373,11.051013574184543,5.561575963408162,25.689174944205096,1.6048682508490604
2024-05-28,22,5,May,1,0,ML FORECAST 2024-05-28,0.10452344714653684,0.15091735505011333,0.28291735505011334,14.017785176029118,10.75039387168129,12.077844273729726,6.046716332982575,13.175960915656763,4.94859969105554,25.689174944205106,1.9399409022993925,12.515779576054518,5.501163337658506,23.338596993388492,1.5020055999746003
2024-05-29,22,5,May,2,0,ML FORECAST 2024-05-29,0.10963557180170085,0.14277089965270454,0.2745467735484777,14.75742397687251,11.490032672524682,12.39415441776754,6.015674300489634,13.461229027201632,4.94859969105554,25.689174944205106,2.3632695591049693,12.951883193751321,4.084118603004463,17.618661183690442,1.805540783121188
2024-05-30,22,5,May,3,0,ML FORECAST 2024-05-30,0.10896625776665597,0.14221558982962204,0.2709353692513895,14.629990882736305,11.362599578388476,12.501910315944972,6.023438661886015,13.57674928677545,4.94859969105554,25.689174944205106,2.1280805667913327,13.062627151004994,5.114186557218252,21.763243064035365,1.5673637317313105
2024-05-31,22,5,May,4,0,ML FORECAST 2024-05-31,0.11040630873506548,0.14316235140120662,0.2741983719050778,14.850565584283782,11.583174279935953,12.548657102264729,6.0250336221894845,13.625091033398673,4.94859969105554,25.689174944205106,2.301908482019053,12.996163502805889,5.3093385290754584,22.822162413555297,1.8544020814778932
